"Angebote";"Visits gesamt";"Visits gesamt Inland";"Visits gesamt Anteil Inland";"Visits gesamt Ausland";"online Visits gesamt";"online Visits Inland";"online Visits Ausland";"mobile Visits gesamt";"mobile Visits Inland";"mobile Visits Ausland";"Connected TV Visits gesamt";"Connected TV Visits Inland";"Connected TV Visits Ausland";
"1&1 Internet AG ";;;;;;;;;;;;;;


"Berliner Kurier Online";3.273.224;2.951.775;90 %;321.449;1.321.648;1.169.073;152.575;1.951.576;1.782.702;168.874;;;;


"Berliner Morgenpost";7.220.177;6.447.415;89 %;772.762;3.221.706;2.731.423;490.283;3.998.471;3.715.992;282.479;;;;


"Berliner Rundfunk.de";95.449;86.070;90 %;9.379;95.449;86.070;9.379;;;;;;;

"Berliner Zeitung Online";5.454.067;4.875.913;89 %;578.154;2.303.095;2.029.387;273.708;3.150.972;2.846.526;304.446;;;;


"Berliner-Silvester";17.955;15.435;86 %;2.520;17.955;15.435;2.520;;;;;;;

"Beschaffungsdienst GaLaBau";15.559;12.888;83 %;2.671;15.559;12.888;2.671;;;;;;;

"Best of Home ";;;;;;;;;;;;;;

"beziehungsweise";901.030;841.043;93 %;59.987;901.030;841.043;59.987;;;;;;;

"Bigdata Insider";72.419;55.029;76 %;17.390;72.419;55.029;17.390;;;;;;;

"bigFM";1.835.068;1.679.451;92 %;155.617;495.683;436.744;58.939;1.339.385;1.242.707;96.678;;;;




"Bigpoint.com";1.006.774;546.335;54 %;460.439;1.006.774;546.335;460.439;;;;;;;

"bike-magazin.de";648.271;501.352;77 %;146.919;648.271;501.352;146.919;;;;;;;

"Bild der Frau";2.932.559;2.609.809;89 %;322.750;967.826;833.034;134.792;1.964.733;1.776.775;187.958;;;;


"Bild.de";419.151.296;379.485.109;91 %;39.666.187;169.685.019;149.442.008;20.243.011;249.466.277;230.043.101;19.423.176;;;;







"billiger.de - Deutschlands großer Preisvergleich";3.062.012;2.833.321;93 %;228.691;3.062.012;2.833.321;228.691;;;;;;;

"Bisafans.de";1.058.025;900.155;85 %;157.870;1.058.025;900.155;157.870;;;;;;;

"biztravel.de";168.643;144.563;86 %;24.080;131.620;112.998;18.622;37.023;31.565;5.458;;;;


"Blechnet";34.189;25.607;75 %;8.582;34.189;25.607;8.582;;;;;;;

"Blinker.de";295.816;261.889;89 %;33.927;295.816;261.889;33.927;;;;;;;

"bluray-disc.de";607.834;523.609;86 %;84.225;607.834;523.609;84.225;;;;;;;

"boden wand decke";12.839;10.675;83 %;2.164;12.839;10.675;2.164;;;;;;;

"Börse Frankfurt";1.569.430;932.096;59 %;637.334;1.569.430;932.096;637.334;;;;;;;

"Börse Stuttgart";2.115.718;1.562.189;74 %;553.529;2.115.718;1.562.189;553.529;;;;;;;

"boerse-online.de";3.048.675;2.975.874;98 %;72.801;2.431.402;2.421.981;9.421;617.273;553.893;63.380;;;;



"boerse.de";3.067.033;2.418.678;79 %;648.355;2.837.275;2.209.345;627.930;229.758;209.333;20.425;;;;


"boersenblatt.net";258.971;231.284;89 %;27.687;183.355;163.039;20.316;75.616;68.245;7.371;;;;


"boote-magazin.de";79.030;62.618;79 %;16.412;79.030;62.618;16.412;;;;;;;

"Borkener Zeitung";285.094;236.894;83 %;48.200;285.094;236.894;48.200;;;;;;;

"brainGuide - Das Expertenportal der Wirtschaft";18.936;16.251;86 %;2.685;18.936;16.251;2.685;;;;;;;

"brandeins.de";257.944;212.138;82 %;45.806;129.524;105.115;24.409;128.420;107.023;21.397;;;;


"Braunschweiger Zeitung";4.340.513;4.123.274;95 %;217.239;1.533.372;1.379.910;153.462;2.807.141;2.743.364;63.777;;;;


"BRAVO.de";2.612.336;2.144.950;82 %;467.386;632.315;519.769;112.546;1.980.021;1.625.181;354.840;;;;


"Brigitte.de";18.192.301;14.730.019;81 %;3.462.282;5.746.843;4.840.374;906.469;12.445.458;9.889.645;2.555.813;;;;




